"gene_name","gene_id","contig","location","omim_id","hgnc_id","unigene_id","ensembl_id","pharmgkb_id","hprd_id","homologene_id","pubmed_id"
"ANXA4","307","NC_000002.11","69969127..70053596","106491","542","422986","ENSG00000196975","-","HPRD:00112","68164","17054779"
"ANXA8","653145","NC_000010.10","48255225..48271369","602396","546","535306","ENSG00000165390","-","-","20393","16450401"
"APC","324","NC_000005.9","112043218..112181936","611731","583","158932","ENSG00000134982","-","HPRD:01439","30950","17971771"
"APLP2","334","NC_000011.9","129939716..130014706","104776","598","370247","ENSG00000084234","-","HPRD:00103","20396","15047212"
"APOC1","341","NC_000019.9","45417921..45422606","107710","607","110675","ENSG00000130208","PA51","HPRD:00131","1244","18217980"
"APOD","347","NC_000003.11","195295573..195311076 complement","107740","612","522555","ENSG00000189058","-","HPRD:00134","1246","18217980"
"APOL2","23780","NC_000022.10","36622255..36636000 complement","607252","619","474740","ENSG00000128335","-","HPRD:06263","12785","15047212"
"AQP3","360","NC_000009.11","33441158..33447590 complement","600170","636","234642","ENSG00000165272","-","HPRD:08970","21025","15047212"
"ARHGAP12","94134","NC_000010.10","32095225..32217770 complement","610577","16348","499264","ENSG00000165322","-","HPRD:06446","23089","15047212"
"ARHGAP8","23779","NC_000022.10","45148438..45258664","609405","677","720401","ENSG00000186654;  ENSG00000241484;  ENSG0000024840","PA24961","HPRD:06448","23645","18217980"
"ASXL1","171023","NC_000020.10","30946153..31027122","612990","18318","374043","ENSG00000171456","-","HPRD:16516","9098","18506748"
"ATIC","471","NC_000002.11","216176692..216214479","601731","794","90280","ENSG00000138363","PA25094","HPRD:03434","2983","15047212"
"ATP9A","10079","NC_000020.10","50213314..50384908 complement","609126","13540","649234","ENSG00000054793","-","HPRD:18541","69194","18506748"
"B4GALT5","9334","NC_000020.10","48249482..48330421 complement","604016","928","370487","ENSG00000158470","-","HPRD:06807","3507","18506748"
"BAG1","573","NC_000009.11","33252469..33264761 complement","601497","937","377484","ENSG00000107262; ENSG00000250477","-","HPRD:03292","3190","10047462"
"BANF1","8815","NC_000011.9","65769550..65771617","603811","17397","433759","ENSG00000175334","-","HPRD:04817","2866","16450401"
"BASP1","10409","NC_000005.9","17217750..17276943","605940","957","725234","ENSG00000176788","PA25261","HPRD:08389","38168","18559093"
"BAT2L2","23215","NC_000001.10","171454666..171562650","0","24903","494614","ENSG00000117523","-","HPRD:16539","41015","15047212"
"BCL2","596","NC_000018.9","60790579..60986613 complement","151430","990","150749","ENSG00000171791","PA25302","HPRD:01045","527","17242701"
"BCL2L1","598","NC_000020.10","30252261..30310656 complement","600039","992","516966","ENSG00000171552","-","HPRD:02497","7639","17306351"
"BCL2L2","599","NC_000014.8","23776012..23780968","601931","995","410026","ENSG00000129473","-","HPRD:03569","2989","17306351"
"BICD2","23299","NC_000009.11","95473645..95527083 complement","609797","17208","436939","ENSG00000185963","-","HPRD:09826","9070","16450401"
"BIRC5","332","NC_000017.10","76210277..76221716","603352","593","514527","ENSG00000089685","-","HPRD:04520","37450","17464868"
"BLU","51364","NC_000003.11","50378537..50383156 complement","607070","19412","526735","ENSG00000004838","-","HPRD:06145","9293","17097722"
"BNIP3","664","NC_000010.10","133781204..133795435 complement","603293","1084","144873","ENSG00000176171","-","HPRD:04482","2990","16353136"
"BRAF","673","NC_000007.13","140433812..140624564 complement","164757","1097","550061","ENSG00000157764","-","HPRD:01264","3197","17360030"
"BRCA1","672","NC_000017.10","41196314..41277468 complement","113705","1100","194143","ENSG00000012048","-","HPRD:00218","5276","15983032"
"BRD9","65980","NC_000005.9","863856..892915 complement","0","25818","449278","ENSG00000028310","-","HPRD:12532","82462","18559093"
"BST2","684","NC_000019.9","17513755..17516384 complement","600534","1119","118110","ENSG00000130303","PA25436","HPRD:02759","48277","15047212"
"BRIX1","55299","NC_000005.9","34915820..34925787","0","24170","718510","ENSG00000113460","-","HPRD:16563","10133","18559093"
"BZW2","28969","NC_000007.13","16685759..16746147","0","18808","487635","ENSG00000136261","-","HPRD:16571","8530","15047212"
"C13ORF18","80183","NC_000013.10","46916136..46961635 complement","0","20420","98117","ENSG00000102445","-","HPRD:12615","57021","19843677"
"C15orf48","84419","NC_000015.9","45722763..45725647","608409","29898","112242","ENSG00000166920","-","HPRD:16332","41867","16434596"
"C1QBP","708","NC_000017.10","5336099..5342471 complement","601269","1243","555866","ENSG00000108561","PA25624","HPRD:03168","31023","15047212"
"C20orf20","55257","NC_000020.10","61427805..61431945","611157","15866","590870","ENSG00000101189","-","HPRD:16646","10104","18506748"
"C20orf30","29058","NC_000020.10","5080484..5093733 complement","0","15876","472024","ENSG00000089063","-","HPRD:12762","8561","15047212"
"C3","718","NC_000019.9","6677846..6720662 complement","120700","1318","529053","ENSG00000125730","PA25897","HPRD:00400","68031","15047212"
"C4orf41","60684","NC_000004.11","184580446..184634745","0","25751","443240","ENSG00000168538","-","HPRD:10968","11076","17054779"
"C5orf22","55322","NC_000005.9","31532373..31555165","0","25639","519246","ENSG00000082213","-","HPRD:07740","10149","18559093"
"C5orf28","64417","NC_000005.9","43444354..43483992 complement","0","26139","558531","ENSG00000151881","-","HPRD:07965","49708","18559093"
"CACYBP","27101","NC_000001.10","174968571..174981163","606186","30423","508524","ENSG00000116161","-","HPRD:07316","7649","15047212"
"CADM1","23705","NC_000011.9","115044345..115375241 complement","605686","5951","370510","ENSG00000182985","PA29764 ","HPRD:05746","8641","17971771"
"CALCA","796","NC_000011.9","14988216..14993832 complement","114130","1437","37058","ENSG00000110680","-","HPRD:00238","105261","16736496"
"CAMKK2","10645","NC_000012.11","121675495..121736111 complement","0","1470","297343","ENSG00000110931","-","HPRD:06467","32756","16353136"
"CAMKV","79012","NC_000003.11","49895422..49907369 complement","0","28788","145156","ENSG00000164076","-","HPRD:11361","56983","16353136"
"CCNA1","8900","NC_000013.10","37005967..37017019","604036","1577","417050","ENSG00000133101","PA26147 ","HPRD:04946","31203","19843677"
"CCNB1","891","NC_000005.9","68462913..68474072","123836","1579","23960","ENSG00000134057","-","HPRD:00454","68982","17306351"
"CCND1","595","NC_000011.9","69455873..69469242","168461","1582","523852","ENSG00000110092","-","HPRD:01346","1334","17306351"
"CCND2","894","NC_000012.11","4382902..4414522","123833","1583","376071","ENSG00000118971","PA26150","HPRD:00451","37525","15713962"
"CCNE1","898","NC_000019.9","30302901..30315219","123837","1589","244723","ENSG00000105173","-","HPRD:00455","14452","17306351"
"CCR2","729230","NC_000003.11","46395235..46402413","601267","1603","511794","ENSG00000121807","-","-","537","20537184"
"CD28","940","NC_000002.11","204571198..204602557","186760","1653","591629","ENSG00000178562","-","HPRD:01727","4473","18337305"
"CD44","960","NC_000011.9","35160417..35253949","107269","1681","502328","ENSG00000026508","PA26221","HPRD:00115","508","17464868"
"CD63","967","NC_000012.11","56119230..56122910","155740","1692","445570","ENSG00000135404","-","HPRD:01121","37526","16450401"
"CD83","9308","NC_000006.11","14117865..14137149","604534","1703","595133","ENSG00000112149","-","HPRD:05170","3121","19446866"
"CDA","978","NC_000001.10","20915444..20945401","123920","1712","466910","ENSG00000158825","PA98","HPRD:11744","1352","16353136"
"CDC40","51362","NC_000006.11","110501624..110553423","605585","17350","428147","ENSG00000168438","-","HPRD:05721","5716","16450401"
"CDH1","999","NC_000016.9","68771195..68869444","192090","1748","461086","ENSG00000039068","-","HPRD:01885","20917","12773202"
"CDH11","1009","NC_000016.9","64980683..65155919 complement","600023","1750","116471","ENSG00000140937","PA26284","HPRD:08960","1361","15989693"
"CDH13","1012","NC_000016.9","82660578..83830201","601364","1753","654386","ENSG00000140945","-","HPRD:03219","20335","17548682"
"CDH15","1013","NC_000016.9","89238163..89261900","114019","1754","148090","ENSG00000129910","-","HPRD:00225","3622","15989693"
"CDH2","1000","NC_000018.9","25530930..25757445 complement","114020","1759","606106","ENSG00000170558","-","HPRD:00226","20424","12657131"
"CDH3","1001","NC_000016.9","68678151..68732957","114021","1762","191842","ENSG00000062038","-","HPRD:00227","20425","16353136"
"CDH4","1002","NC_000020.10","59827559..60512299","603006","1763","473231","ENSG00000179242","-","HPRD:04304","48044","15989693"
"CDK2","1017","NC_000012.11","56360556..56366568","116953","1771","19192","ENSG00000123374","-","HPRD:00310","74409","18813814"
"CDK6","1021","NC_000007.13","92234235..92465941 complement","603368","1777","119882","ENSG00000105810","-","HPRD:04533","963","18813814"
"CDKN1A","1026","NC_000006.11","36646459..36655109","116899","1784","370771","ENSG00000124762","PA104 ","HPRD:00298","333","15771902"
"CDKN1B","1027","NC_000012.11","12870302..12875305","600778","1785","238990","ENSG00000111276","PA105","HPRD:02867","2999","18813814"
"CDKN2A","1029","NC_000009.11","21967751..21994490 complement","600160","1787","512599","ENSG00000147889","-","HPRD:02542","55430","15771902"
"CDKN2B","1030","NC_000009.11","22002902..22009312 complement","600431","1788","72901","ENSG00000147883","-","HPRD:02696","55859","17971771"
"CEACAM1","634","NC_000019.9","43011458..43032639 complement","109770","1814","512682","ENSG00000079385","-","HPRD:00191","113536","17543121"
"CEACAM5","1048","NC_000019.9","42212530..42234437","114890","1817","709196","ENSG00000105388","-","HPRD:00274","113536","16450401"
"CEACAM6","4680","NC_000019.9","42259398..42276113","163980","1818","466814","ENSG00000086548","PA26362","HPRD:01233","113536","16450401"
"CEACAM7","1087","NC_000019.9","42177235..42192096 complement","0","1819","74466","ENSG00000007306","-","HPRD:07629","48476","16450401"
"CEBPB","1051","NC_000020.10","48807376..48809212","189965","1834","517106","ENSG00000172216","-","HPRD:01801","3807","20099975"
"CELA2A","63036","NC_000001.10","15783224..15798583","609443","24609","631866","ENSG00000142615","-","HPRD:06495","40598","15989693"
"CELSR1","9620","NC_000022.10","46756731..46933067 complement","604523","1850","252387","ENSG00000075275","-","HPRD:05160","7665","16353136"
"CES1","1066","NC_000016.9","55836763..55867075 complement","114835","1863","558865","ENSG00000198848","PA107","HPRD:00268","35606","15047212"
"CHFR","55743","NC_000012.11","133416938..133464184 complement","605209","20455","29698","ENSG00000072609","-","-","10078","17786301"
"CITED2","10370","NC_000006.11","139693396..139695785 complement","602937","1987","82071","ENSG00000164442","-","HPRD:04245","4433","16353136"
"CKS2","1164","NC_000009.11","91926113..91931618","116901","2000","83758","ENSG00000123975","PA26536","HPRD:00300","86883","16353136"
"CLDN1","9076","NC_000003.11","190023493..190040215 complement","603718","2032","439060","ENSG00000163347","-","HPRD:04760","9620","18618715"
"CLEC2B","9976","NC_000012.11","10004968..10022458  complement","603242","2053","85201","ENSG00000110852","PA26582","HPRD:09129","68443","16450401"
"CLIC3","9022","NC_000009.11","139889060..139891024 complement","606533","2064","64746","ENSG00000169583","-","HPRD:05941","3432","16353136"
"CNOT1","23019","NC_000016.9","58553855..58663750 complement","604917","7877","460923","ENSG00000125107","-","HPRD:11999","9453","15047212"
"COL1A1","1277","NC_000017.10 ","48261457..48279000 complement","120150","2197","172928","ENSG00000108821","PA35041","HPRD:00362","73874","15047212"
"CPE","1363","NC_000004.11","166300097..166419482","114855","2303","75360","ENSG00000109472","-","HPRD:00272","48052","15047212"
"CPEB1","64506","NC_000015.9","83211951..83316728 complement","607342","21744","547988","ENSG00000214575","-","HPRD:09553","7278","19161537"
"CPEB3","22849","NC_000010.10","93808399..94050844 complement","610606","21746","131683","ENSG00000107864","-","HPRD:16745","40992","19161537"
"CR1","1378","NC_000001.10","207669473..207815110","120620","2334","334019","ENSG00000203710","-","HPRD:00398","55474","10493495"
"CRABP2","1382","NC_000001.10","156669403..156675375 complement","180231","2339","405662","ENSG00000143320","-","HPRD:08353","1415","16450401"
"CRCT1","54544","NC_000001.10","152486978..152488481","0","29875","110196","ENSG00000169509","-","HPRD:16635","10402","16353136"
"CRISP3","10321","NC_000006.11","49695089..49712056 complement","0","16904","404466","ENSG00000096006","-","HPRD:11788","50654","16353136"
"CRNN","49860","NC_00001.10","152386750..152381719 complement","611312","1230","242057","ENSG00000143536","-","HPRD:12720","9416","16353136"
"CRYAB","1410","NC_000011.9","111779350..111782473 complement","123590","2389","53454","ENSG00000109846","-","HPRD:00428","68209","16353136"
"CSE1L","1434","NC_000020.10","47662838..47713486","601342","2431","90073","ENSG00000124207","-","HPRD:03217","1006","15047212"
"CSF1","1435","NC_000001.10","110453233..110472355","120420","2432","591402","ENSG00000184371","PA26935","HPRD:00388","7282","18565574"
"CSF1R","1436","NC_000005.9","149432854..149492935 complement","164770","2433","586219","ENSG00000182578","-","HPRD:01269","3817","18565574"
"CTGF","1490","NC_000006.11","132269316..132272518 complement","121009","2500","410037","ENSG00000118523","PA27003","HPRD:00412","1431","16353136"
"CTNNB1","1499","NC_000003.11","41240942..41281939","116806","2514","476018","ENSG00000168036","-","HPRD:00286","1434","16049915"
"CTSC","1075","NC_000011.9","88026760..88070941 complement","602365","2528","706874","ENSG00000109861","-","HPRD:03841","1373","15989693"
"CTSF","8722","NC_000011.9","66330935..66336047","603539","2531","11590","ENSG00000174080","-","HPRD:04643","31194","15989693"
"CTSH","1512","NC_000015.9","79214092..79237420 complement","116820","2535","148641","ENSG00000103811","-","HPRD:00288","36159","15989693"
"CTSL1","1514","NC_000009.11","90340974..90346384","116880","2537","418123","ENSG00000135047","PA27035","HPRD:00293","112271","15989693"
"CTSS","1520","NC_000001.10","150702551..150738305complement","116845","2545","181301","ENSG00000163131","-","HPRD:00292","20867","15989693"
"CUEDC1","404093","NC_000017.10","55940337..55980750 complement","0","31350","46679","ENSG00000180891","-","HPRD:13098","9933","18191186"
"CWH43","80157","NC_000004.11","48988265..49064096","0","26133","479703","ENSG00000109182","-","HPRD:08638","5474","16353136"
"CXCR2","3579","NC_000002.11","218990746..219001975","146928","6027","846","ENSG00000180871","-","HPRD:00907","10439","16353136"
"CYBA","1535","NC_000016.9","88709697..88717457 complement","608508","2577","513803","ENSG00000051523","-","HPRD:01989","80","19012493"
"CYR61","3491","NC_000001.10","86046444..86049650","602369","2654","8867","ENSG00000142871","-","HPRD:09089","1194","18217980"
"DAP3","7818","NC_000001.10","155658874..155708320","602074","2673","516746","ENSG00000132676","-","HPRD:03646","3404","15047212"
"DAPK1","1612","NC_000009.11","90112756..90323549","600831","2674","380277","ENSG00000196730","PA27142 ","HPRD:02902","3626","17971771"
"DDIT3","1649","NC_000012.11","57910371..57914300 complement","126337","2726","505777","ENSG00000175197","-","HPRD:00529","3012","16597647"
"DDOST","1650","NC_000001.10","20978260..20988037 complement","602202","2728","523145","ENSG00000244038;  ENSG00000117242","-","HPRD:03728","3821","17054779"
"DDX27","55661","NC_000020.10","47835832..47860614","0","15837","65234","ENSG00000124228","-","HPRD:10859","6431","18506748"
"DEK","7913","NC_000006.11","18224400..18264799 complement","125264","2768","484813","ENSG00000124795","-","HPRD:00503","2593","18618715"
"DHFR","1719","NC_000005.9","79922045..79950800 complement","126060","2861","592364","ENSG00000228716","PA143","HPRD:00519","56470","18813814"
"DLC1","10395","NC_000008.10","12940872..13372395 complement","604258","2897","134296","ENSG00000164741","-","HPRD:05035","4442","16862168"
"DMC1","11144","NC_000022.10","38914954..38966189 complement","602721","2927","339396","ENSG00000100206","-","HPRD:04099","5135","20084279"
"DNAJC9","23234","NC_000010.10","75002582..75007025 complement","611206","19123","408577","ENSG00000213551","-","HPRD:13237","9055","20099975"
"DNMT1","1786","NC_000019.9","10244022..10305755 complement","126375","2976","202672","ENSG00000130816","PA27443","HPRD:00532","1055","17971771"
"DNMT3L","29947","NC_000021.8","45666223..45682099 complement","606588","2980","592165","ENSG00000142182","-","HPRD:09417","8362","17965599"
"DSG1","1828","NC_000018.9","28898052..28937394","125670","3048","2633","ENSG00000134760","PA27501 ","HPRD:00515","1463","16353136"
"DSG2","1829","NC_000018.9","29078027..29128814","125671","3049","412597","ENSG00000046604","PA27502","HPRD:00516","1464","18217980"
"DTL","51514","NC_000001.10","212208919..212278187","610617","30288","656473","ENSG00000143476","-","HPRD:17952","32313","16353136"
"DUSP1","1843","NC_000005.9","172195102..172198203 complement","600714","3064","171695","ENSG00000120129","-","HPRD:02835","3254","18217980"
"DUSP26","78986","NC_000008.10","33448851..33457439 complement","0","28161","8719","ENSG00000133878","-","HPRD:14421","11421","18217980"
"DUT","1854","NC_000015.9","48623621..48635570","601266","3078","527980","ENSG00000128951","PA151","HPRD:03165","31475","20084279"
"E2F1","1869","NC_000020.10","32263292..32274210 complement","189971","3113","654393","ENSG00000101412"," PA152","HPRD:01806","3828","17306351"
"E2F2","1870","NC_000001.10","23832922..23857713 complement","600426","3114","194333","ENSG00000007968","-","HPRD:02692","48264","18813814"
"E2F3","1871","NC_000006.11","20402137..20493945","600427","3115","269408","ENSG00000112242","-","HPRD:02693","74413","18813814"
"E2F4","1874","NC_000016.9","67226068..67232821","600659","3118","108371","ENSG00000205250","-","HPRD:02806","1471","18813814"
"E2F5","1875","NC_000008.10","86089619..86126753","600967","3119","445758","ENSG00000133740","-","HPRD:02983","1472","18813814"
"ECT2","1894","NC_000003.11","172472299..172539263","600586","3155","518299","ENSG00000114346","-","HPRD:11860","7298","16353136"
"EDN1","1906","NC_000006.11","12290529..12297427","131240","3176","511899","ENSG00000078401","-","HPRD:07030","1476","17445867"
"EDN2","1907","NC_000001.10","41944446..41950344 complement","131241","3177","1407","ENSG00000127129","PA27615","HPRD:07173","1477","15771902"
"EDN3","1908","NC_000020.10","57875499..57901047","131242","3178","1408","ENSG00000124205","-","HPRD:00570","88","16353136"
"EDNRA","1909","NC_000004.11","148401907..148466106","131243","3179","183713","ENSG00000151617","-","HPRD:00571","1478","17445867"
"EFNA1","1942","NC_000001.10","155100349..155107386","191164","3221","516664","ENSG00000169242","-","HPRD:01858","3262","16353136"
"EGFR","1956","NC_000007.13","55086725..55275031","131550","3236","488293","ENSG00000146648"," PA7360","HPRD:00579","74545","17242701"
"EMP1","2012","NC_000012.11","13349602..13369708","602333","3333","436298","ENSG00000134531","-","HPRD:11892","1088","16353136"
"ENDOU","8909","NC_000012.11","48103528..48119350 complement","606720","14369","997","ENSG00000111405","-","HPRD:12110","48394","16353136"
"ENG","2022","NC_000009.11","130577291..130617047 complement","131195","3349","76753","ENSG00000106991","PA27785","HPRD:00565","92","19352388"
"EPB41L3","23136","NC_000018.9","5392388..5543986 complement","605331","3380","213394","ENSG00000082397","-","HPRD:05622","49308","16353136"
"EPB41L4B","54566","NC_000009.11","111934254..112083021 complement","610340","19818","591901","ENSG00000095203","-","HPRD:09940","69270","17054779"
"EPCAM","4072","NC_000002.11","47596287..47614167","185535","11529","542050","ENSG00000119888","-","HPRD:01709","1764","16450401"
"EPS8","2059","NC_000012.11","15773075..15942510","600206","3420","591160","ENSG00000151491","-","HPRD:02563","3272","16450401"
"ERBB2","2064","NC_000017.10","37844393..37884915","164870","3430","446352","ENSG00000141736","PA27844","HPRD:01281","3273","17306351"
"ERBB4","2066","NC_000002.11","212240442..213403352 complement","600543","3432","390729","ENSG00000178568","-","HPRD:02767","21084","17306351"
"EREG","2069","NC_000004.11","75230860..75254477","602061","3443","115263","ENSG00000124882","-","HPRD:03638","1097","16353136"
"ESR1","2099","NC_000006.11","152011631..152424409","133430","3467","208124","ENSG00000091831"," PA156","HPRD:00589","47906","17971771"
"ESR2","2100","NC_000014.8","64693751..64805268 complement","601663","3468","660607","ENSG00000140009"," PA27886","HPRD:03390","1100","16353136"
"EXO1","9156","NC_000001.10","242011535..242053048","606063","3511","498248","ENSG00000174371","-","HPRD:06932","31352","19012493"
"EZH2","2146","NC_000007.13","148504475..148581414 complement","601573","3527","444082","ENSG00000106462","-","HPRD:03342","37926","19047178"
"FANCA","2175","NC_000016.9","89803959..89883065 complement","607139","3582","290154","ENSG00000187741","-","HPRD:06186","108","19012493"
"FANCF","2188","NC_000011.9","22644079..22647387 complement","603467","3587","713574","ENSG00000183161","-","HPRD:04589","75185","15126331"
"FASTKD3 ","79072","NC_000005.9","7859272..7869115 complement","0","28758","653162","ENSG00000124279","-","HPRD:10083","11457","18559093"
"FGF1","2246","NC_000005.9","141971743..142077635 complement","131220","3665","483635","ENSG00000113578","-","HPRD:00567","625","17242701"
"FGF2 ","2247","NC_000004.11","123747863..123819390","134920","3676","284244","ENSG00000138685","-","HPRD:00622","1521","15797633"
"FGF7","2252","NC_000015.9","49715375..49779523","148180","3685","567268","ENSG00000140285","-","HPRD:01022","7316","17306351"
"FGFR2","2263","NC_000010.10","123237844..123357972 complement","176943","3689","533683","ENSG0000066468","-","HPRD:01492","22566","17306351"
"FHIT","2272","NC_000003.11","59735036..61237133 complement","601153","3701","655995","ENSG00000189283"," PA28140","HPRD:03096","21661","19730990"
"FLNA","2316","NC_000023.10","153576900..153603006","300017","3754","195464","ENSG00000196924","PA28172","HPRD:02060","1119","16450401"
"FLT1","2321","NC_000013.10","28876389..29069265 complement","165070","3763","594454","ENSG00000102755","-","HPRD:01297","20463","17306351"
"FOXL2","668","NC_000003.11","138663066..138665801 complement","605597","1092","289292","ENSG00000183770","-","HPRD:05723","74992","16353136"
"FUS","2521","NC_000016.9","31191453..31203100","137070","4010","46894","ENSG00000089280","-","HPRD:00660","3639","15047212"
"GAPDH","2597","NC_000012.11","6643657..6647536","138400","4141","544577","ENSG00000111640","-","HPRD:00713","107053","19161537"
"GARS","2617","NC_000007.13","30634181..30673649","600287","4162","404321","ENSG00000106105","-","HPRD:02617","1547","15047212"
"GATA3","2625","NC_000010.10","8096667..8117164","131320","4172","524134","ENSG00000107485","-","HPRD:00572","1550","17971771"
"GDF15","9518","NC_000019.9","18496968..18499986","605312","30142","616962","ENSG00000130513","-","HPRD:05608","3576","18398830"
"GFOD2","81577","NC_000016.9","67708439..67753217 complement","0","28159","307084","ENSG00000141098","-","HPRD:14419","10361","16353136"
"GJA1 ","2697","NC_000006.11","121756745..121770873","121014","4274","74471","ENSG00000152661","PA28685","HPRD:00414","136","17543121"
"GLI1","2735","NC_000012.11","578533934..57866051","165220","4317","632702","ENSG00000111087","-","HPRD:01311","3859","7905784"
"GLTP","51228","NC_000012.11","110288748..110318293 complement","608949","24867","381256","ENSG00000139433","-","HPRD:16409","41133","16353136"
"GPX3","2878","NC_000005.9","150399999..150408554","138321","4555","386793","ENSG00000211445","-","HPRD:11750","20480","16353136"
"GRB2","2885","NC_000017.10","73314157..73401790 complement","108355","4566","444356","ENSG00000177885","-","HPRD:00150","1576","15771902"
"GRM4","2914","NC_000006.11","33989628..34101443 complement","604100","4596","654847","ENSG00000124493","-","HPRD:04978","20230","16353136"
"GSS","2937","NC_000020.10","33516236..33543601 complement","601002","4624","82327","ENSG00000100983","PA29015","HPRD:03000","148","18506748"
"GSTP1","2950","NC_000011.9","67351066..67354124","134660","4638","523836","ENSG00000084207","PA29028","HPRD:00614","660","20069434"
"GTF2F2","2963","NC_000013.10","45694631..45858240","189969","4653","654582","ENSG00000188342","-","HPRD:01804","37884","15047212"
"GTF2H4","2968","NC_000006.11","30875977..30881880","601760","4658","485070","ENSG00000213780","-","HPRD:03456","7090","20084279"
"GYS2","2998","NC_000012.11","21689123..21757781 complement","138571","4707","82614","ENSG00000111713","-","HPRD:00722","56580","16353136"
"HBA2","3040","NC_000016.9","222846..223709","141850","4824","654744","ENSG00000188536","PA29199 ","HPRD:00785","469","16353136"
"HDLBP","3069","NC_000002.11","242166679..242255254 complement","142695","4857","471851","ENSG00000115677","-","HPRD:00813","38035","15047212"
"HIC1","3090","NC_000017.10","1958393..1962981","603825","4909","72956","ENSG00000177374","-","HPRD:04826","4740","12773202"
"HIN-1","92304","NC_000005.9","180017105..180018487 complement","606500","18384","62492","ENSG00000161055","-","HPRD:05932","14160","15472908"
"HIST1H1C","3006","NC_000006.11","26055915..26056699 complement","142710","4716","7644","ENSG00000187837","-","HPRD:07514","68455","18217980"
"HIST2H2BE","8349","NC_000001.10","149856010..149858232","601831","4760","2178","ENSG00000184678","-","HPRD:03494","84347","16450401"
"HLA-C","3107","NC_000006.11","31236529..31239855 complement","142840","4933","654404","ENSG00000204525","PA35057","HPRD:00829","110784","15047212"
"HLA-DQB1","3119","NC_000006.11","32627657..32634466 complement","604305","4944","409934","ENSG00000179344","-","HPRD:05054","1603","15047212"
"HLA-DRA","3122","NC_000006.11","32407647..32412823","142860","4947","520048","ENSG00000204287","PA35071","HPRD:00833","7751","15047212"
"HLA-DRB3","3125","NT_113891.2","3947195..3934127 complement","612735","4951","696211","-","-","HPRD:09985","0","15047212"
"HLA-DRB5","3127","NC_000006.11","32485151..32498006 complement","604776","4953","534322","ENSG00000198502","-","HPRD:09209","101524","15047212"
"HLTF","6596","NC_000003.11","148747904..148804341 complement","603257","11099","3068","ENSG00000071794","-","HPRD:04461","30136","16331610"
"HMGB1","3146","NC_000013.10","31032877..31040081 complement","163905","4983","593339","ENSG00000189403","PA188","HPRD:01228","110676","19839069"
"HOPX","84525","NC_000004.11","57514154..57547872 complement","607275","24961","619396","ENSG00000171476","-","HPRD:06280","15859","16353136"
"HOXA1","3198","NC_000007.13","27132612..27135625 complement","142955","5099","67397","ENSG00000105991","-","HPRD:00843","4032","16049915"
"HOXB6","3216","NC_000017.10","46673099..46682334 complement","142961","5117","98428","ENSG00000108511","-","HPRD:00849","7366","16450401"
"HOXC10","3226","NC_000012.11","54378946..54384063","605560","5122","44276","ENSG00000180818","-","HPRD:05710","9680","17974957"
"HPGD","3248","NC_000004.11","175411380..175443611 complement","601688","5154","596913","ENSG00000164120","-","HPRD:03406","68095","16353136"
"HRAS","3265","NC_000011.9","532242..535550 complement","190020","5173","37003","ENSG00000174775","-","HPRD:01813","55890","15950068"
"HS3ST2","9956","NC_000016.9","22825860..22927659","604056","5195","115830","ENSG00000122254","-","HPRD:04957","21220","17894941"
"HSP90AA1","3320","NC_000014.8","102547075..102606086 complement","140571","5253","525600","ENSG00000080824","-","HPRD:00777","68464","15047212"
