"gene_name","protein_id","swissprot_id","pdb_id","method","resol","chain","position"
"ANG","NP_001091046.1","P03950","1K58","X-ray","2.7","A","26-147"
"ANG","NP_001091046.1","P03950","1K59","X-ray","1.8","A","26-147"
"ANG","NP_001091046.1","P03950","1K5A","X-ray","2.33","A","25-147"
"ANG","NP_001091046.1","P03950","1K5B","X-ray","1.8","A","26-144"
"ANG","NP_001091046.1","P03950","1UN3","X-ray","1.7","A","26-147"
"ANG","NP_001091046.1","P03950","1UN4","X-ray","2.1","A","26-147"
"ANG","NP_001091046.1","P03950","1UN5","X-ray","2.6","A","25-147"
"ANG","NP_001091046.1","P03950","2ANG","X-ray","2","A","25-147"
"ANG","NP_001136.1","P03950","1A4Y","X-ray","2","B/E","25-147"
"ANG","NP_001136.1","P03950","1ANG","X-ray","2.4","A","25-147"
"ANG","NP_001136.1","P03950","1AWZ","NMR","-","A","25-147"
"ANG","NP_001136.1","P03950","1B1E","X-ray","2","A","25-147"
"ANG","NP_001136.1","P03950","1B1I","X-ray","1.8","A","26-147"
"ANG","NP_001136.1","P03950","1B1J","X-ray","2","A","25-147"
"ANG","NP_001136.1","P03950","1GV7","X-ray","2.1","A","26-145"
"ANG","NP_001136.1","P03950","1H0D","X-ray","2","C","26-147"
"ANG","NP_001136.1","P03950","1H52","X-ray","2","A","26-147"
"ANG","NP_001136.1","P03950","1H53","X-ray","2","A","26-147"
"ANG","NP_001136.1","P03950","1HBY","X-ray","2","A","26-147"
"ANG","NP_001136.1","P03950","1K58","X-ray","2.7","A","26-147"
"ANG","NP_001136.1","P03950","1K59","X-ray","1.8","A","26-147"
"ANG","NP_001136.1","P03950","1K5A","X-ray","2.33","A","25-147"
"ANG","NP_001136.1","P03950","1K5B","X-ray","1.8","A","26-144"
"ANG","NP_001136.1","P03950","1UN3","X-ray","1.7","A","26-147"
"ANG","NP_001136.1","P03950","1UN4","X-ray","2.1","A","26-147"
"ANG","NP_001136.1","P03950","1UN5","X-ray","2.6","A","25-147"
"ANG","NP_001136.1","P03950","2ANG","X-ray","2","A","25-147"
"ANLN","NP_061155.2","Q9NQW6","-","-","-","-","-"
"ANXA1","NP_000691.1","P04083","1AIN","X-ray","2.5","A","33-346"
"ANXA1","NP_000691.1","P04083","1BO9","NMR","-","A","41-113"
"ANXA1","NP_000691.1","P04083","1QLS","X-ray","2.3","D","12-Feb"
"ANXA2","NP_001002857.1","P07355","1W7B","X-ray","1.52","A","1-339"
"ANXA2","NP_001002857.1","P07355","1XJL","X-ray","2.59","A/B","21-338"
"ANXA2","NP_001002857.1","P07355","2HYU","X-ray","1.86","A","32-338"
"ANXA2","NP_001002857.1","P07355","2HYV","X-ray","1.42","A","32-338"
"ANXA2","NP_001002857.1","P07355","2HYW","X-ray","2.1","A/B","32-338"
"ANXA2","NP_001002858.1","P07355","1W7B","X-ray","1.52","A","1-339"
"ANXA2","NP_001002858.1","P07355","1XJL","X-ray","2.59","A/B","21-338"
"ANXA2","NP_001002858.1","P07355","2HYU","X-ray","1.86","A","32-338"
"ANXA2","NP_001002858.1","P07355","2HYV","X-ray","1.42","A","32-338"
"ANXA2","NP_001002858.1","P07355","2HYW","X-ray","2.1","A/B","32-338"
"ANXA2","NP_001129487.1","P07355","1W7B","X-ray","1.52","A","1-339"
"ANXA2","NP_001129487.1","P07355","1XJL","X-ray","2.59","A/B","21-338"
"ANXA2","NP_001129487.1","P07355","2HYU","X-ray","1.86","A","32-338"
"ANXA2","NP_001129487.1","P07355","2HYV","X-ray","1.42","A","32-338"
"ANXA2","NP_001129487.1","P07355","2HYW","X-ray","2.1","A/B","32-338"
"ANXA2","NP_004030.1","P07355","1W7B","X-ray","1.52","A","1-339"
"ANXA2","NP_004030.1","P07355","1XJL","X-ray","2.59","A/B","21-338"
"ANXA2","NP_004030.1","P07355","2HYU","X-ray","1.86","A","32-338"
"ANXA2","NP_004030.1","P07355","2HYV","X-ray","1.42","A","32-338"
"ANXA2","NP_004030.1","P07355","2HYW","X-ray","2.1","A/B","32-338"
"ANXA2","NP_004030.1","P07355","2ZOC","X-ray","2","A/B","1-319"
"ANXA4","NP_001144.1","P09525","1W7B","X-ray","1.52","A","1-339"
"ANXA8","NP_001035173","P13928","1W3W","X-ray","1.99","A","1-327"
"ANXA8","NP_001035173","P13928","1W45","X-ray","2.51","A/B","1-327"
"APC","NP_000029.2","P25054 ","1DEB","X-ray","2.4","A/B","Feb-55"
"APC","NP_000029.2","P25054 ","1EMU","X-ray","1.9","B","2034-2049"
"APC","NP_000029.2","P25054 ","1JPP","X-ray","3.1","C/D","1021-1035"
"APC","NP_000029.2","P25054 ","1M5I","X-ray","2","A","126-250"
"APC","NP_000029.2","P25054 ","1T08","X-ray","2.1","C","1484-1498"
"APC","NP_000029.2","P25054 ","1TH1","X-ray","2.5","C/D","1362-1540"
"APC","NP_000029.2","P25054 ","1V18","X-ray","2.1","B","1482-1528"
"APC","NP_001120982.1","P25054 ","1DEB","X-ray","2.4","A/B","Feb-55"
"APC","NP_001120982.1","P25054 ","1EMU","X-ray","1.9","B","2034-2049"
"APC","NP_001120982.1","P25054 ","1JPP","X-ray","3.1","C/D","1021-1035"
"APC","NP_001120982.1","P25054 ","1M5I","X-ray","2","A","126-250"
"APC","NP_001120982.1","P25054 ","1T08","X-ray","2.1","C","1484-1498"
"APC","NP_001120982.1","P25054 ","1TH1","X-ray","2.5","C/D","1362-1540"
"APC","NP_001120982.1","P25054 ","1V18","X-ray","2.1","B","1482-1528"
"APC","NP_001120983.1","P25054 ","1DEB","X-ray","2.4","A/B","Feb-55"
"APC","NP_001120983.1","P25054 ","1EMU","X-ray","1.9","B","2034-2049"
"APC","NP_001120983.1","P25054 ","1JPP","X-ray","3.1","C/D","1021-1035"
"APC","NP_001120983.1","P25054 ","1M5I","X-ray","2","A","126-250"
"APC","NP_001120983.1","P25054 ","1T08","X-ray","2.1","C","1484-1498"
"APC","NP_001120983.1","P25054 ","1TH1","X-ray","2.5","C/D","1362-1540"
"APC","NP_001120983.1","P25054 ","1V18","X-ray","2.1","B","1482-1528"
"APLP2","NP_001135748.1","Q06481","-","-","-","-","-"
"APLP2","NP_001135749.1","Q06481","-","-","-","-","-"
"APLP2","NP_001135750.1","Q06481","-","-","-","-","-"
"APLP2","NP_001633.1","Q06481","-","-","-","-","-"
"APOC1","NP_001636.1","P02654","1ALE","NMR","-","A","33-50"
"APOC1","NP_001636.1","P02654","1ALF","NMR","-","A","61-79"
"APOC1","NP_001636.1","P02654","1IOJ","NMR","-","A","27-83"
"APOC1","NP_001636.1","P02654","1OPP","NMR","-","A","27-64"
"APOD","NP_001638.1","P05090","2APD","model","-","A","21-189"
"APOD","NP_001638.1","P05090","2HZQ","X-ray","1.8","A","23-189"
"APOD","NP_001638.1","P05090","2HZR","X-ray","1.8","A","23-189"
"APOL2","NP_112092.1","Q9BQE5","-","-","-","-","-"
"APOL2","NP_663612.1","Q9BQE5","-","-","-","-","-"
"AQP3","NP_004916.1","Q92482","-","-","-","-","-"
"ARHGAP12","NP_060757.4","Q8IWW6","-","-","-","-","-"
"ARHGAP8","NP_001017526.1","P85298","-","-","-","-","-"
"ARHGAP8","NP_851852.2","P85298","-","-","-","-","-"
"PYCARD","NP_037390.2","Q9ULZ3","1UCP","NMR","-","A","Jan-91"
"PYCARD","NP_037390.2","Q9ULZ3","2KN6","NMR","-","A","1-195"
"PYCARD","NP_660183.1","Q9ULZ3","1UCP","NMR","-","A","Jan-91"
"PYCARD","NP_660183.1","Q9ULZ3","2KN6","NMR","-","A","1-195"
"ASXL1","NP_056153.2","Q8IXJ9","-","-","-","-","-"
"ATIC","NP_004035.2","P31939","1P4R","X-ray","2.55","A/B","1-592"
"ATIC","NP_004035.2","P31939","1PKX","X-ray","1.9","A/B/C/D","1-592"
"ATIC","NP_004035.2","P31939","1PL0","X-ray","2.6","A/B/C/D","1-592"
"ATP9A","NP_006036.1","O75110","-","-","-","-","-"
"B4GALT5","NP_004767.1","O43286","-","-","-","-","-"
"BAG1","NP_004314.5","-","-","-","-","-","-"
"BANF1","NP_001137457.1","O75531","1CI4","X-ray","1.9","A/B","Jan-89"
"BANF1","NP_001137457.1","O75531","1QCK","NMR","-","A/B","Jan-89"
"BANF1","NP_001137457.1","O75531","2BZF","X-ray","2.87","A","Jan-89"
"BANF1","NP_001137457.1","O75531","2EZX","NMR","-","A/B","Jan-89"
"BANF1","NP_001137457.1","O75531","2EZY","NMR","-","A/B","Jan-89"
"BANF1","NP_001137457.1","O75531","2EZZ","NMR","-","A/B","Jan-89"
"BANF1","NP_001137457.1","O75531","2ODG","NMR","-","A/B","Jan-89"
"BANF1","NP_003851.1","O75531","1CI4","X-ray","1.9","A/B","Jan-89"
"BANF1","NP_003851.1","O75531","1QCK","NMR","-","A/B","Jan-89"
"BANF1","NP_003851.1","O75531","2BZF","X-ray","2.87","A","Jan-89"
"BANF1","NP_003851.1","O75531","2EZX","NMR","-","A/B","Jan-89"
"BANF1","NP_003851.1","O75531","2EZY","NMR","-","A/B","Jan-89"
"BANF1","NP_003851.1","O75531","2EZZ","NMR","-","A/B","Jan-89"
"BANF1","NP_003851.1","O75531","2ODG","NMR","-","A/B","Jan-89"
"BASP1","NP_006308.3","P80723","-","-","-","-","-"
"BAT2L2","NP_055987.2","Q9Y520","-","-","-","-","-"
"BCL2","NP_000624.2","P10415","1G5M","NMR","-","A","1-207"
"BCL2","NP_000624.2","P10415","1GJH","NMR","-","A","1-207"
"BCL2","NP_000624.2","P10415","1YSW","NMR","-","A","3-207"
"BCL2","NP_000624.2","P10415","2O21","NMR","-","A","3-207"
"BCL2","NP_000624.2","P10415","2O22","NMR","-","A","3-207"
"BCL2","NP_000624.2","P10415","2O2F","NMR","-","A","8-204"
"BCL2","NP_000624.2","P10415","2W3L","X-ray","2.1","A/B","9-206"
"BCL2","NP_000648.2","-","-","-","-","-","-"
"BCL2L1","NP_001182.1","Q07817","1BXL","NMR","-","A","1-209"
"BCL2L1","NP_001182.1","Q07817","1G5J","NMR","-","A","1-209"
"BCL2L1","NP_001182.1","Q07817","1LXL","NMR","-","A","1-209"
"BCL2L1","NP_001182.1","Q07817","1MAZ","X-ray","2.2","A","1-209"
"BCL2L1","NP_001182.1","Q07817","1R2D","X-ray","1.95","A","1-211"
"BCL2L1","NP_001182.1","Q07817","1R2E","X-ray","2.1","A","1-211"
"BCL2L1","NP_001182.1","Q07817","1R2G","X-ray","2.7","A","1-211"
"BCL2L1","NP_001182.1","Q07817","1R2H","X-ray","2.2","A","1-211"
"BCL2L1","NP_001182.1","Q07817","1R2I","X-ray","2","A","1-211"
"BCL2L1","NP_001182.1","Q07817","1YSG","NMR","-","A","1-209"
"BCL2L1","NP_001182.1","Q07817","1YSI","NMR","-","A","1-209"
"BCL2L1","NP_001182.1","Q07817","1YSN","NMR","-","A","1-209"
"BCL2L1","NP_001182.1","Q07817","2B48","X-ray","3.45","A","1-211"
"BCL2L1","NP_001182.1","Q07817","2O1Y","NMR","-","A","1-209"
"BCL2L1","NP_001182.1","Q07817","2O2M","NMR","-","A","2-196"
"BCL2L1","NP_001182.1","Q07817","2O2N","NMR","-","A","2-196"
"BCL2L1","NP_001182.1","Q07817","2P1L","X-ray","2.5","A/C/E/G","1-209"
"BCL2L1","NP_001182.1","Q07817","2PON","NMR","-","B","1-196"
"BCL2L1","NP_001182.1","Q07817","2YXJ","X-ray","2.2","A/B","1-209"
"BCL2L1","NP_001182.1","Q07817","3CVA","X-ray","2.7","X","1-211"
"BCL2L1","NP_001182.1","Q07817","3FDL","X-ray","1.78","A","1-209"
"BCL2L1","NP_001182.1","Q07817","3FDM","X-ray","2.26","A/B/C","1-209"
"BCL2L1","NP_001182.1","Q07817","3INQ","X-ray","2","A/B","1-209"
"BCL2L1","NP_001182.1","Q07817","3IO8","X-ray","2.3","A/C","1-209"
"BCL2L1","NP_612815.1","Q07817","1BXL","NMR","-","A","1-209"
"BCL2L1","NP_612815.1","Q07817","1G5J","NMR","-","A","1-209"
"BCL2L1","NP_612815.1","Q07817","1LXL","NMR","-","A","1-209"
"BCL2L1","NP_612815.1","Q07817","1MAZ","X-ray","2.2","A","1-209"
"BCL2L1","NP_612815.1","Q07817","1R2D","X-ray","1.95","A","1-211"
"BCL2L1","NP_612815.1","Q07817","1R2E","X-ray","2.1","A","1-211"
"BCL2L1","NP_612815.1","Q07817","1R2G","X-ray","2.7","A","1-211"
"BCL2L1","NP_612815.1","Q07817","1R2H","X-ray","2.2","A","1-211"
"BCL2L1","NP_612815.1","Q07817","1R2I","X-ray","2","A","1-211"
"BCL2L1","NP_612815.1","Q07817","1YSG","NMR","-","A","1-209"
"BCL2L1","NP_612815.1","Q07817","1YSI","NMR","-","A","1-209"
"BCL2L1","NP_612815.1","Q07817","1YSN","NMR","-","A","1-209"
"BCL2L1","NP_612815.1","Q07817","2B48","X-ray","3.45","A","1-211"
"BCL2L1","NP_612815.1","Q07817","2O1Y","NMR","-","A","1-209"
"BCL2L1","NP_612815.1","Q07817","2O2M","NMR","-","A","2-196"
"BCL2L1","NP_612815.1","Q07817","2O2N","NMR","-","A","2-196"
"BCL2L1","NP_612815.1","Q07817","2P1L","X-ray","2.5","A/C/E/G","1-209"
"BCL2L1","NP_612815.1","Q07817","2PON","NMR","-","B","1-196"
"BCL2L1","NP_612815.1","Q07817","2YXJ","X-ray","2.2","A/B","1-209"
"BCL2L1","NP_612815.1","Q07817","3CVA","X-ray","2.7","X","1-211"
"BCL2L1","NP_612815.1","Q07817","3FDL","X-ray","1.78","A","1-209"
"BCL2L1","NP_612815.1","Q07817","3FDM","X-ray","2.26","A/B/C","1-209"
"BCL2L1","NP_612815.1","Q07817","3INQ","X-ray","2","A/B","1-209"
"BCL2L1","NP_612815.1","Q07817","3IO8","X-ray","2.3","A/C","1-209"
"BCL2L2","NP_004041.1","Q92843 ","1MK3","NMR","-","A","2-171"
"BCL2L2","NP_004041.1","Q92843 ","1O0L","NMR","-","A","1-183"
"BCL2L2","NP_004041.1","Q92843 ","1ZY3","NMR","-","A","2-171"
"BICD2","NP_001003800.1","Q8TD16","-","-","-","-","-"
"BICD2","NP_056065.1","Q8TD16","-","-","-","-","-"
"BIRC5","NP_001012270.1","O15392","1.00E+31","X-ray","2.71","A/B","1-142"
"BIRC5","NP_001012270.1","O15392","1F3H","X-ray","2.58","A/B","1-142"
"BIRC5","NP_001012270.1","O15392","1XOX","NMR","-","A/B","1-117"
"BIRC5","NP_001012270.1","O15392","2QFA","X-ray","1.4","A","1-142"
"BIRC5","NP_001012270.1","O15392","2RAW","X-ray","2.4","A","1-142"
"BIRC5","NP_001012270.1","O15392","2RAX","X-ray","3.3","A/E/X","1-120"
"BIRC5","NP_001012271.1","O15392","1.00E+31","X-ray","2.71","A/B","1-142"
"BIRC5","NP_001012271.1","O15392","1F3H","X-ray","2.58","A/B","1-142"
"BIRC5","NP_001012271.1","O15392","1XOX","NMR","-","A/B","1-117"
"BIRC5","NP_001012271.1","O15392","2QFA","X-ray","1.4","A","1-142"
"BIRC5","NP_001012271.1","O15392","2RAW","X-ray","2.4","A","1-142"
"BIRC5","NP_001012271.1","O15392","2RAX","X-ray","3.3","A/E/X","1-120"
"BIRC5","NP_001159.2 ","O15392","1.00E+31","X-ray","2.71","A/B","1-142"
"BIRC5","NP_001159.2 ","O15392","1F3H","X-ray","2.58","A/B","1-142"
"BIRC5","NP_001159.2 ","O15392","1XOX","NMR","-","A/B","1-117"
"BIRC5","NP_001159.2 ","O15392","2QFA","X-ray","1.4","A","1-142"
"BIRC5","NP_001159.2 ","O15392","2RAW","X-ray","2.4","A","1-142"
"BIRC5","NP_001159.2 ","O15392","2RAX","X-ray","3.3","A/E/X","1-120"
"BLU","NP_056980.2","O75800 ","2D8Q","NMR","-","A","384-440"
"BLU","NP_056980.2","O75800 ","2DAN","NMR","-","A","384-430"
"BNIP3","NP_004043.2","Q12983 ","2J5D","NMR","-","A/B","146-190"
"BNIP3","NP_004043.2","Q12983 ","2KA1","NMR","-","A/B","154-188"
"BNIP3","NP_004043.2","Q12983 ","2KA2","NMR","-","A/B","154-188"
"BRAF","NP_004324.2","P15056 ","1UWH","X-ray","2.95","A/B","448-723"
"BRAF","NP_004324.2","P15056 ","1UWJ","X-ray","3.5","A/B","448-723"
"BRAF","NP_004324.2","P15056 ","2FB8","X-ray","2.9","A/B","445-723"
"BRAF","NP_004324.2","P15056 ","3C4C","X-ray","2.57","A/B","444-719"
"BRAF","NP_004324.2","P15056 ","3C4D","X-ray","2.65","A/B","444-719"
"BRAF","NP_004324.2","P15056 ","3D4Q","X-ray","2.8","A/B","433-726"
"BRAF","NP_004324.2","P15056 ","3IDP","X-ray","2.7","A/B","434-727"
"BRAF","NP_004324.2","P15056 ","3II5","X-ray","2.79","A/B","432-726"
"BRCA1","NP_009228.2","P38398","1JM7","NMR","-","A","1-110"
"BRCA1","NP_009228.2","P38398","1JNX","X-ray","2.5","X","1646-1859"
"BRCA1","NP_009228.2","P38398","1N5O","X-ray","2.8","X","1646-1859"
"BRCA1","NP_009228.2","P38398","1OQA","NMR","-","A","1755-1863"
"BRCA1","NP_009228.2","P38398","1T15","X-ray","1.85","A","1649-1859"
"BRCA1","NP_009228.2","P38398","1T29","X-ray","2.3","A","1646-1859"
"BRCA1","NP_009228.2","P38398","1T2U","X-ray","2.8","A","1646-1859"
"BRCA1","NP_009228.2","P38398","1T2V","X-ray","3.3","A/B/C/D/E","1646-1859"
"BRCA1","NP_009228.2","P38398","1Y98","X-ray","2.5","A","1646-1859"
"BRCA1","NP_009228.2","P38398","2ING","X-ray","3.6","X","1649-1859"
"BRCA1","NP_009228.2","P38398","3COJ","X-ray","3.21","A/B/C/D/E/F/G/X","1646-1859"
"BRCA1","NP_009228.2","P38398","3K0H","X-ray","2.7","A","1646-1859"
"BRCA1","NP_009228.2","P38398","3K0K","X-ray","2.7","A","1646-1859"
"BRCA1","NP_009228.2","P38398","3K15","X-ray","2.8","A","1646-1859"
"BRCA1","NP_009228.2","P38398","3K16","X-ray","3","A","1646-1859"
"BRCA1","NP_009229.1","P38398","1JM7","NMR","-","A","1-110"
"BRCA1","NP_009229.1","P38398","1JNX","X-ray","2.5","X","1646-1859"
"BRCA1","NP_009229.1","P38398","1N5O","X-ray","2.8","X","1646-1859"
"BRCA1","NP_009229.1","P38398","1OQA","NMR","-","A","1755-1863"
"BRCA1","NP_009229.1","P38398","1T15","X-ray","1.85","A","1649-1859"
"BRCA1","NP_009229.1","P38398","1T29","X-ray","2.3","A","1646-1859"
"BRCA1","NP_009229.1","P38398","1T2U","X-ray","2.8","A","1646-1859"
"BRCA1","NP_009229.1","P38398","1T2V","X-ray","3.3","A/B/C/D/E","1646-1859"
"BRCA1","NP_009229.1","P38398","1Y98","X-ray","2.5","A","1646-1859"
"BRCA1","NP_009229.1","P38398","2ING","X-ray","3.6","X","1649-1859"
"BRCA1","NP_009229.1","P38398","3COJ","X-ray","3.21","A/B/C/D/E/F/G/X","1646-1859"
"BRCA1","NP_009229.1","P38398","3K0H","X-ray","2.7","A","1646-1859"
"BRCA1","NP_009229.1","P38398","3K0K","X-ray","2.7","A","1646-1859"
"BRCA1","NP_009229.1","P38398","3K15","X-ray","2.8","A","1646-1859"
"BRCA1","NP_009229.1","P38398","3K16","X-ray","3","A","1646-1859"
"BRCA1","NP_009230.1","P38398","1JM7","NMR","-","A","1-110"
"BRCA1","NP_009230.1","P38398","1JNX","X-ray","2.5","X","1646-1859"
"BRCA1","NP_009230.1","P38398","1N5O","X-ray","2.8","X","1646-1859"
"BRCA1","NP_009230.1","P38398","1OQA","NMR","-","A","1755-1863"
"BRCA1","NP_009230.1","P38398","1T15","X-ray","1.85","A","1649-1859"
"BRCA1","NP_009230.1","P38398","1T29","X-ray","2.3","A","1646-1859"
"BRCA1","NP_009230.1","P38398","1T2U","X-ray","2.8","A","1646-1859"
"BRCA1","NP_009230.1","P38398","1T2V","X-ray","3.3","A/B/C/D/E","1646-1859"
"BRCA1","NP_009230.1","P38398","1Y98","X-ray","2.5","A","1646-1859"
"BRCA1","NP_009230.1","P38398","2ING","X-ray","3.6","X","1649-1859"
"BRCA1","NP_009230.1","P38398","3COJ","X-ray","3.21","A/B/C/D/E/F/G/X","1646-1859"
"BRCA1","NP_009230.1","P38398","3K0H","X-ray","2.7","A","1646-1859"
"BRCA1","NP_009230.1","P38398","3K0K","X-ray","2.7","A","1646-1859"
"BRCA1","NP_009230.1","P38398","3K15","X-ray","2.8","A","1646-1859"
"BRCA1","NP_009230.1","P38398","3K16","X-ray","3","A","1646-1859"
"BRCA1","NP_009231.1","P38398","1JM7","NMR","-","A","1-110"
"BRCA1","NP_009231.1","P38398","1JNX","X-ray","2.5","X","1646-1859"
"BRCA1","NP_009231.1","P38398","1N5O","X-ray","2.8","X","1646-1859"
"BRCA1","NP_009231.1","P38398","1OQA","NMR","-","A","1755-1863"
"BRCA1","NP_009231.1","P38398","1T15","X-ray","1.85","A","1649-1859"
"BRCA1","NP_009231.1","P38398","1T29","X-ray","2.3","A","1646-1859"
"BRCA1","NP_009231.1","P38398","1T2U","X-ray","2.8","A","1646-1859"
"BRCA1","NP_009231.1","P38398","1T2V","X-ray","3.3","A/B/C/D/E","1646-1859"
"BRCA1","NP_009231.1","P38398","1Y98","X-ray","2.5","A","1646-1859"
"BRCA1","NP_009231.1","P38398","2ING","X-ray","3.6","X","1649-1859"
"BRCA1","NP_009231.1","P38398","3COJ","X-ray","3.21","A/B/C/D/E/F/G/X","1646-1859"
"BRCA1","NP_009231.1","P38398","3K0H","X-ray","2.7","A","1646-1859"
"BRCA1","NP_009231.1","P38398","3K0K","X-ray","2.7","A","1646-1859"
"BRCA1","NP_009231.1","P38398","3K15","X-ray","2.8","A","1646-1859"
"BRCA1","NP_009231.1","P38398","3K16","X-ray","3","A","1646-1859"
"BRCA1","NP_009233.1","P38398","1JM7","NMR","-","A","1-110"
"BRCA1","NP_009233.1","P38398","1JNX","X-ray","2.5","X","1646-1859"
"BRCA1","NP_009233.1","P38398","1N5O","X-ray","2.8","X","1646-1859"
"BRCA1","NP_009233.1","P38398","1OQA","NMR","-","A","1755-1863"
"BRCA1","NP_009233.1","P38398","1T15","X-ray","1.85","A","1649-1859"
"BRCA1","NP_009233.1","P38398","1T29","X-ray","2.3","A","1646-1859"
"BRCA1","NP_009233.1","P38398","1T2U","X-ray","2.8","A","1646-1859"
"BRCA1","NP_009233.1","P38398","1T2V","X-ray","3.3","A/B/C/D/E","1646-1859"
"BRCA1","NP_009233.1","P38398","1Y98","X-ray","2.5","A","1646-1859"
"BRCA1","NP_009233.1","P38398","2ING","X-ray","3.6","X","1649-1859"
"BRCA1","NP_009233.1","P38398","3COJ","X-ray","3.21","A/B/C/D/E/F/G/X","1646-1859"
"BRCA1","NP_009233.1","P38398","3K0H","X-ray","2.7","A","1646-1859"
"BRCA1","NP_009233.1","P38398","3K0K","X-ray","2.7","A","1646-1859"
"BRCA1","NP_009233.1","P38398","3K15","X-ray","2.8","A","1646-1859"
"BRCA1","NP_009233.1","P38398","3K16","X-ray","3","A","1646-1859"
"BRCA1","NP_009236.1","P38398","1JM7","NMR","-","A","1-110"
