"gene_name","homologene_id","species","gene","mrna","protein"
"AHCY","554","H.sapiens ","AHCY ","NM_000687.1 ","NP_000678.1"
"AHCY","554","P.troglodytes ","AHCY ","XM_514594.2 ","XP_514594.2"
"AHCY","554","C.lupus ","AHCY ","XM_534388.2 ","XP_534388.2"
"AHCY","554","B.taurus ","AHCY ","NM_001034315.1 ","NP_001029487.1"
"AHCY","554","M.musculus ","Ahcy ","NM_016661.2 ","NP_057870.2"
"AHCY","554","R.norvegicus ","Ahcy ","NM_017201.1 ","NP_058897.1"
"AHCY","554","G.gallus ","AHCY ","XM_417331.2 ","XP_417331.2"
"AHCY","554","D.rerio ","ahcy ","NM_199218.1 ","NP_954688.1"
"AHCY","554","D.melanogaster ","Ahcy13 ","NM_078609.2 ","NP_511164.2"
"AHCY","554","A.gambiae ","AgaP_AGAP0","XM_311257.3 ","XP_311257.2"
"AHCY","554","C.elegans ","K02F2.2 ","NM_059554.5 ","NP_491955.1"
"AHCY","554","S.pombe ","SPBC8D2.18","NM_001021475.1 ","NP_595580.1"
"AHCY","554","S.cerevisiae ","SAH1 ","SAH1_6320882 ","NP_010961.1"
"AHCY","554","K.lactis ","KLLA0A0119","XM_451052.1 ","XP_451052.1"
"AHCY","554","E.gossypii ","AGOS_AFR24","NM_211145.1 ","NP_985790.1"
"AHCY","554","M.grisea ","MGG_05155 ","XM_359622.1 ","XP_359622.1"
"AHCY","554","N.crassa ","NCU07930.1","XM_328635.1 ","XP_328636.1"
"AHCY","554","A.thaliana ","SAHH2 ","NM_113286.2 ","NP_189023.1"
"AHCY","554","A.thaliana ","MEE58 ","NM_117468.2 ","NP_193130.1"
"AHCY","554","O.sativa ","Os11g04555","NM_001074377.1 ","NP_001067845.1"
"AHCY","554","P.falciparum ","PFE1050w ","XM_001351731.1 ","XP_001351767.1"
"AIM2","83226","H.sapiens ","AIM2 ","NM_004833.1 ","NP_004824.1"
"AIM2","83226","P.troglodytes ","AIM2 ","XM_513914.2 ","XP_513914.2"
"AIM2","83226","M.musculus ","Aim2 ","NM_001013779.1 ","NP_001013801.1"
"AIM2","83226","R.norvegicus ","Aim2 ","XM_222949.4 ","XP_222949.4"
"AKT1","3785","H.sapiens","AKT1","NM_001014431.1","NP_001014431.1"
"AKT1","3785","P.troglodytes","AKT1","XM_001143158.1","XP_001143158.1"
"AKT1","3785","C.lupus","AKT1","XM_548000.2","XP_548000.2"
"AKT1","3785","B.taurus","AKT1","NM_173986.2","NP_776411.1"
"AKT1","3785","M.musculus","Akt1","NM_009652.2","NP_033782.1"
"AKT1","3785","R.norvegicus","Akt1","NM_033230.1","NP_150233.1"
"AKT1","3785","G.gallus","AKT1","NM_205055.1","NP_990386.1"
"AKT1","3785","D.rerio","LOC792354","XM_001921958.1","XP_001921993.1"
"AKT1","3785","C.elegans","akt-1","NM_001028474.3","NP_001023645.1"
"AKT1","3785","C.elegans","akt-2","NM_077956.4","NP_510357.3"
"ALDH7A1","913","H.sapiens","ALDH7A1","NM_001182.3","NP_001173.2"
"ALDH7A1","913","P.troglodytes","ALDH7A1","XM_517904.2","XP_517904.2"
"ALDH7A1","913","C.lupus","ALDH7A1","XM_538607.2","XP_538607.2"
"ALDH7A1","913","B.taurus","ALDH7A1","NM_001045969.1","NP_001039434.1"
"ALDH7A1","913","M.musculus","Aldh7a1","NM_138600.2","NP_613066.1"
"ALDH7A1","913","R.norvegicus","Aldh7a1","XM_214535.4","XP_214535.3"
"ALDH7A1","913","G.gallus","ALDH7A1","XM_424422.2","XP_424422.2"
"ALDH7A1","913","D.rerio","aldh7a1","NM_212724.1","NP_997889.1"
"ALDH7A1","913","D.melanogaster","CG9629","NM_140842.1","NP_649099.1"
"ALDH7A1","913","A.gambiae","AgaP_AGAP0","XM_316857.4","XP_316857.3"
"ALDH7A1","913","C.elegans","alh-9","NM_065862.2","NP_498263.2"
"ALDH7A1","913","A.thaliana","ALDH7B4","NM_179476.2","NP_849807.1"
"ALDH7A1","913","O.sativa","Os09g04403","NM_001069816.1","NP_001063281.1"
"ALOX12","560","H.sapiens","ALOX12","NM_000697.2","NP_000688.2"
"ALOX12","560","P.troglodytes","ALOX12","XM_511984.2","XP_511984.2"
"ALOX12","560","C.lupus","ALOX12","XM_851445.1","XP_856538.1"
"ALOX12","560","B.taurus","ALOX12","XM_590488.4","XP_590488.2"
"ALOX12","560","M.musculus","Alox12","NM_007440.3","NP_031466.2"
"ALOX12","560","R.norvegicus","Alox12","XM_213369.4","XP_213369.4"
"ALOX12","560","D.rerio","alox12","NM_199618.1","NP_955912.1"
"ALOX12B","884","H.sapiens","ALOX12B","NM_001139.2","NP_001130.1"
"ALOX12B","884","P.troglodytes","ALOX12B","XM_511864.2","XP_511864.2"
"ALOX12B","884","C.lupus","ALOX12B","XM_546604.2","XP_546604.2"
"ALOX12B","884","B.taurus","ALOX12B","XM_580977.2","XP_580977.2"
"ALOX12B","884","M.musculus","Alox12b","NM_009659.2","NP_033789.1"
"ALOX12B","884","R.norvegicus","Alox12b","NM_001039377.1","NP_001034466.1"
"ANG","74385","H.sapiens","ANG","NM_001097577.2","NP_001091046.1"
"ANG","74385","P.troglodytes","ANG","NM_001009159.1","NP_001009159.1"
"ANG","74385","B.taurus","LOC783225","XM_001251869.1","XP_001251870.1"
"ANG","74385","B.taurus","ANG","NM_001078144.1","NP_001071612.1"
"ANG","74385","B.taurus","ANG2","NM_001099396.1","NP_001092866.1"
"ANG","74385","M.musculus","Ang","NM_007447.2","NP_031473.1"
"ANG","74385","R.norvegicus","Ang1","NM_001006992.1","NP_001006993.1"
"ANG","74385","R.norvegicus","Ang","NM_001012359.1","NP_001012359.1"
"ANLN","41281","H.sapiens ","ANLN ","NM_018685.2 ","NP_061155.2"
"ANLN","41281","P.troglodytes ","ANLN ","XM_001169854.1 ","XP_001169854.1"
"ANLN","41281","C.lupus ","ANLN ","XM_539518.2 ","XP_539518.2"
"ANLN","41281","B.taurus ","ANLN ","XM_596461.4 ","XP_596461.3"
"ANLN","41281","M.musculus ","Anln ","NM_028390.2 ","NP_082666.1"
"ANLN","41281","R.norvegicus ","Anln ","XM_225479.4 ","XP_225479.4"
"ANLN","41281","G.gallus ","ANLN ","XM_418836.2 ","XP_418836.2"
"ANLN","41281","D.rerio ","si:dkey-30","XM_682687.3 ","XP_687779.3"
"ANXA1","563","H.sapiens ","ANXA1 ","NM_000700.1 ","NP_000691.1"
"ANXA1","563","P.troglodytes ","ANXA1 ","XM_001143668.1 ","XP_001143668.1"
"ANXA1","563","C.lupus ","ANXA1 ","XM_533524.2 ","XP_533524.2"
"ANXA1","563","B.taurus ","ANXA1 ","NM_175784.3 ","NP_786978.2"
"ANXA1","563","M.musculus ","Anxa1 ","NM_010730.2 ","NP_034860.2"
"ANXA1","563","R.norvegicus ","Anxa1 ","NM_012904.1 ","NP_037036.1"
"ANXA1","563","G.gallus ","ANXA1 ","NM_206906.1 ","NP_996789.1"
"ANXA1","563","D.rerio ","anxa1a ","NM_181758.1 ","NP_861423.1"
"ANXA2","20857","H.sapiens ","ANXA2 ","NM_001002858.2 ","NP_001002858.1"
"ANXA2","20857","P.troglodytes ","ANXA2 ","XM_001155637.1 ","XP_001155637.1"
"ANXA2","20857","C.lupus ","ANXA2 ","NM_001002961.1 ","NP_001002961.1"
"ANXA2","20857","B.taurus ","ANXA2 ","NM_174716.1 ","NP_777141.1"
"ANXA2","20857","M.musculus ","Anxa2 ","NM_007585.3 ","NP_031611.1"
"ANXA2","20857","R.norvegicus ","Anxa2 ","NM_019905.1 ","NP_063970.1"
"ANXA2","20857","G.gallus ","ANXA2 ","NM_205351.1 ","NP_990682.1"
"ANXA2","20857","D.rerio ","anxa2a ","NM_181761.2 ","NP_861426.1"
"ANXA2","20857","D.rerio ","anxa2b ","NM_001105600.1 ","NP_001099070.1"
"ANXA4","68164","H.sapiens ","ANXA4 ","NM_001153.3 ","NP_001144.1"
"ANXA4","68164","P.troglodytes ","ANXA4 ","XM_001139581.1 ","XP_001139581.1"
"ANXA4","68164","C.lupus ","ANXA4 ","XM_850465.1 ","XP_855558.1"
"ANXA4","68164","B.taurus ","ANXA4 ","NM_001001440.2 ","NP_001001440.2"
"ANXA4","68164","M.musculus ","Anxa4 ","NM_013471.1 ","NP_038499.1"
"ANXA4","68164","R.norvegicus ","Anxa4 ","NM_024155.3 ","NP_077069.3"
"ANXA4","68164","D.rerio ","LOC792474 ","XM_001331775.2 ","XP_001331811.1"
"ANXA8","20393","H.sapiens","ANXA8","NM_001040084.1","NP_001035173.1"
"ANXA8","20393","H.sapiens","ANXA8L1","NM_001098845.1","NP_001092315.1"
"ANXA8","20393","P.troglodytes","ANXA8L1","XM_001161209.1","XP_001161209.1"
"ANXA8","20393","C.lupus","ANXA8L1","XM_536412.2","XP_536412.2"
"ANXA8","20393","B.taurus","ANXA8L1","NM_174241.2","NP_776666.1"
"ANXA8","20393","M.musculus","Anxa8","NM_013473.3","NP_038501.2"
"ANXA8","20393","R.norvegicus","Anxa8","NM_001031654.1","NP_001026824.1"
"ANXA8","20393","G.gallus","ANXA8L1","XM_421646.2","XP_421646.1"
"APC","30950","H.sapiens","APC","NM_000038.4","NP_000029.2"
"APC","30950","P.troglodytes","APC","XM_001143366.1","XP_001143366.1"
"APC","30950","C.lupus","APC","XM_536285.2","XP_536285.2"
"APC","30950","B.taurus","APC","XM_001787603.1","XP_001787655.1"
"APC","30950","M.musculus","Apc","NM_007462.2","NP_031488.2"
"APC","30950","R.norvegicus","Apc","NM_012499.1","NP_036631.1"
"APC","30950","G.gallus","APC","XM_001233410.1","XP_001233411.1"
"APLP2","20396","H.sapiens","APLP2","NM_001642.2","NP_001633.1"
"APLP2","20396","P.troglodytes","APLP2","XM_001155152.1","XP_001155152.1"
"APLP2","20396","C.lupus","APLP2","XM_851401.1","XP_856494.1"
"APLP2","20396","B.taurus","APLP2","XM_001251234.2","XP_001251235.1"
"APLP2","20396","M.musculus","Aplp2","NM_009691.2","NP_033821.1"
"APLP2","20396","R.norvegicus","Aplp2","XM_343513.3","XP_343514.3"
"APLP2","20396","D.rerio","aplp2","XM_001922713.1","XP_001922748.1"
"APOC1","1244","H.sapiens ","APOC1 ","NM_001645.3 ","NP_001636.1"
"APOC1","1244","P.troglodytes ","APOC1 ","XM_001148061.1 ","XP_001148061.1"
"APOC1","1244","C.lupus ","APOC1 ","XM_847490.1 ","XP_852583.1"
"APOC1","1244","M.musculus ","Apoc1 ","NM_007469.3 ","NP_031495.1"
"APOC1","1244","R.norvegicus ","Apoc1 ","NM_012824.1 ","NP_036956.1"
"APOD","1246","H.sapiens ","APOD ","NM_001647.3 ","NP_001638.1"
"APOD","1246","P.troglodytes ","APOD ","XM_516965.2 ","XP_516965.1"
"APOD","1246","C.lupus ","APOD ","XM_535780.2 ","XP_535780.1"
"APOD","1246","B.taurus ","APOD ","NM_001076301.1 ","NP_001069769.1"
"APOD","1246","M.musculus ","Apod ","NM_007470.3 ","NP_031496.2"
"APOD","1246","R.norvegicus ","Apod ","NM_012777.1 ","NP_036909.1"
"APOD","1246","G.gallus ","APOD ","NM_001011692.1 ","NP_001011692.1"
"APOD","1246","D.rerio ","zgc:123339","NM_001037695.1 ","NP_001032784.1"
"APOD","1246","D.rerio ","zgc:153593","NM_001076582.1 ","NP_001070050.1"
"APOD","1246","D.melanogaster ","NLaz ","NM_175946.1 ","NP_787960.1"
"APOD","1246","A.gambiae ","AgaP_AGAP0","XM_320076.4 ","XP_320076.4"
"APOL2","12785","H.sapiens","APOL2","NM_030882.2","NP_112092.1"
"APOL2","12785","P.troglodytes","APOL2","XM_001143991.1","XP_001143991.1"
"APOL2","12785","M.musculus","Apol8","XM_139463.7","XP_139463.5"
"APOL2","12785","R.norvegicus","Apol2","XM_235465.4","XP_235465.4"
"AQP3","21025","H.sapiens","AQP3","NM_004925.3","NP_004916.1"
"AQP3","21025","P.troglodytes","AQP3","XM_520531.2","XP_520531.1"
"AQP3","21025","C.lupus","AQP3","XM_849503.1","XP_854596.1"
"AQP3","21025","B.taurus","AQP3","NM_001079794.1","NP_001073262.1"
"AQP3","21025","M.musculus","Aqp3","NM_016689.2","NP_057898.2"
"AQP3","21025","R.norvegicus","Aqp3","NM_031703.1","NP_113891.1"
"AQP3","21025","G.gallus","AQP3","XM_424500.2","XP_424500.2"
"AQP3","21025","D.rerio","LOC568049","XM_691357.2","XP_696449.1"
"AQP3","21025","D.rerio","aqp3","NM_213468.1","NP_998633.1"
"AQP3","21025","S.pombe","SPAC977.17","NM_001018188.1","NP_592788.1"
"AQP3","21025","S.cerevisiae","YFL054C","YFL054C_1431846","NP_116601.1"
"AQP3","21025","M.grisea","MGG_13615","XM_001408108.1","XP_001408145.1"
"ARHGAP12","23089","H.sapiens","ARHGAP12","NM_018287.5","NP_060757.4"
"ARHGAP12","23089","P.troglodytes","ARHGAP12","XM_507729.2","XP_507729.2"
"ARHGAP12","23089","C.lupus","ARHGAP12","XM_544216.2","XP_544216.2"
"ARHGAP12","23089","B.taurus","ARHGAP12","NM_001102241.1","NP_001095711.1"
"ARHGAP12","23089","M.musculus","Arhgap12","NM_001039692.1","NP_001034781.1"
"ARHGAP12","23089","R.norvegicus","Arhgap12","XM_225439.4","XP_225439.4"
"ARHGAP12","23089","G.gallus","ARHGAP12","XM_418575.2","XP_418575.2"
"ARHGAP12","23089","D.rerio","arhgap12","NM_200874.1","NP_957168.1"
"ARHGAP8","23645","H.sapiens ","LOC553158 ","NM_181334.3 ","NP_851851.1"
"ARHGAP8","23645","H.sapiens ","ARHGAP8 ","NM_181335.2 ","NP_851852.2"
"ARHGAP8","23645","C.lupus ","ARHGAP8 ","XM_846370.1 ","XP_851463.1"
"ARHGAP8","23645","M.musculus ","Arhgap8 ","NM_028455.2 ","NP_082731.1"
"ARHGAP8","23645","R.norvegicus ","Arhgap8 ","NM_001004242.1 ","NP_001004242.1"
"ARHGAP8","23645","G.gallus ","ARHGAP8 ","XM_416463.2 ","XP_416463.2"
"PYCARD","8307","H.sapiens","PYCARD","NM_013258.3","NP_037390.2"
"PYCARD","8307","P.troglodytes","PYCARD","XM_001158687.1","XP_001158687.1"
"PYCARD","8307","C.lupus","PYCARD","XM_843515.1","XP_848608.1"
"PYCARD","8307","B.taurus","PYCARD","NM_174730.2","NP_777155.1"
"PYCARD","8307","M.musculus","Pycard","NM_023258.3","NP_075747.2"
"PYCARD","8307","R.norvegicus","Pycard","NM_172322.1","NP_758825.1"
"ASXL1","9098","H.sapiens ","ASXL1 ","NM_015338.4 ","NP_056153.2"
"ASXL1","9098","P.troglodytes ","ASXL1 ","XM_001155675.1 ","XP_001155675.1"
"ASXL1","9098","B.taurus ","ASXL1 ","XM_600364.4 ","XP_600364.4"
"ASXL1","9098","M.musculus ","Asxl1 ","NM_001039939.1 ","NP_001035028.1"
"ASXL1","9098","G.gallus ","ASXL1 ","XM_425716.2 ","XP_425716.2"
"ASXL1","9098","D.rerio ","Asxl1 ","XM_001341206.2 ","XP_001341242.2"
"ATIC","2983","H.sapiens","ATIC","NM_004044.5","NP_004035.2"
"ATIC","2983","P.troglodytes","ATIC","XM_001150375.1","XP_001150375.1"
"ATIC","2983","C.lupus","ATIC","XM_857957.1","XP_863050.1"
"ATIC","2983","B.taurus","ATIC","NM_001075254.1","NP_001068722.1"
"ATIC","2983","M.musculus","Atic","NM_026195.2","NP_080471.1"
"ATIC","2983","R.norvegicus","Atic","NM_031014.2","NP_112276.2"
"ATIC","2983","G.gallus","ATIC","NM_205178.1","NP_990509.1"
"ATIC","2983","D.rerio","atic","NM_001082796.1","NP_001076265.1"
"ATIC","2983","D.melanogaster","CG11089","NM_143048.1","NP_651305.1"
"ATIC","2983","A.gambiae","AgaP_AGAP0","XM_321707.3","XP_321707.3"
"ATIC","2983","C.elegans","transferas","NM_171912.4","NP_741452.2"
"ATIC","2983","S.pombe","ade10","NM_001023018.1","NP_588027.1"
"ATIC","2983","S.cerevisiae","ADE17","ADE17_6323768","NP_013839.1"
"ATIC","2983","K.lactis","KLLA0F1765","XM_455873.1","XP_455873.1"
"ATIC","2983","E.gossypii","AGOS_AFR21","NM_211114.1","NP_985760.1"
"ATIC","2983","M.grisea","MGG_04435","XM_361990.1","XP_361990.1"
"ATIC","2983","N.crassa","NCU02629.1","XM_331827.1","XP_331828.1"
"ATIC","2983","A.thaliana","AT2G35040","NM_179909.1","NP_850240.1"
"ATIC","2983","O.sativa","Os08g02066","NM_001067775.1","NP_001061240.1"
"ATP9A","69194","H.sapiens ","ATP9A ","NM_006045.1 ","NP_006036.1"
"ATP9A","69194","P.troglodytes ","ATP9A ","XM_001168714.1 ","XP_001168714.1"
"ATP9A","69194","C.lupus ","ATP9A ","XM_534457.2 ","XP_534457.2"
"ATP9A","69194","M.musculus ","Atp9a ","NM_015731.3 ","NP_056546.2"
"ATP9A","69194","G.gallus ","ATP9A ","XM_417508.2 ","XP_417508.2"
"B4GALT5","3507","H.sapiens ","B4GALT5 ","NM_004776.3 ","NP_004767.1"
"B4GALT5","3507","P.troglodytes ","B4GALT5 ","XM_001167173.1 ","XP_001167173.1"
"B4GALT5","3507","C.lupus ","B4GALT5 ","XM_543044.2 ","XP_543044.2"
"B4GALT5","3507","B.taurus ","B4GALT5 ","XM_586129.3 ","XP_586129.3"
"B4GALT5","3507","M.musculus ","B4galt5 ","NM_019835.2 ","NP_062809.2"
"B4GALT5","3507","R.norvegicus ","B4galt5 ","XM_342584.3 ","XP_342585.3"
"B4GALT5","3507","G.gallus ","B4GALT5 ","XM_417519.2 ","XP_417519.2"
"B4GALT5","3507","D.rerio ","b4galt5 ","NM_001045332.1 ","NP_001038797.1"
"B4GALT5","3507","C.elegans ","W02B12.11 ","NM_064048.4 ","NP_496449.1"
"BAG1","3190","H.sapiens","BAG1","NM_004323.4","NP_004314.4"
"BAG1","3190","P.troglodytes","BAG1","XM_520528.2","XP_520528.2"
"BAG1","3190","C.lupus","BAG1","XM_849492.1","XP_854585.1"
"BAG1","3190","B.taurus","BAG1","XM_001250234.2","XP_001250235.2"
"BAG1","3190","M.musculus","Bag1","NM_009736.1","NP_033866.3"
"BAG1","3190","R.norvegicus","Bag1","XM_216377.4","XP_216377.3"
"BANF1","2866","H.sapiens","BANF1","NM_001143985.1","NP_001137457.1"
"BANF1","2866","P.troglodytes","BANF1","XM_001170547.1","XP_001170547.1"
"BANF1","2866","C.lupus","BANF1","XM_849683.1","XP_854776.1"
"BANF1","2866","B.taurus","BANF1","XM_001787208.1","XP_001787260.1"
"BANF1","2866","B.taurus","BANF1","NM_182988.2","NP_892033.1"
"BANF1","2866","M.musculus","Banf1","NM_001038231.1","NP_001033320.1"
"BANF1","2866","R.norvegicus","Banf1","NM_053631.2","NP_446083.1"
"BANF1","2866","D.rerio","zgc:77767","NM_205562.1","NP_991125.1"
"BANF1","2866","D.melanogaster","baf","NM_135332.2","NP_609176.1"
"BANF1","2866","A.gambiae","AgaP_AGAP0","XM_314872.3","XP_314872.1"
"BANF1","2866","C.elegans","baf-1","NM_066684.4","NP_499085.1"
"BASP1","38168","H.sapiens ","BASP1 ","NM_006317.3 ","NP_006308.3"
"BASP1","38168","P.troglodytes ","BASP1 ","XM_001175409.1 ","XP_001175409.1"
"BASP1","38168","C.lupus ","BASP1 ","XM_863690.1 ","XP_868783.1"
"BASP1","38168","B.taurus ","BASP1 ","NM_174780.3 ","NP_777205.1"
"BASP1","38168","M.musculus ","Basp1 ","NM_027395.1 ","NP_081671.1"
"BASP1","38168","R.norvegicus ","Basp1 ","NM_022300.1 ","NP_071636.1"
"BASP1","38168","G.gallus ","BASP1 ","NM_204116.1 ","NP_989447.1"
"BAT2L2","41015","H.sapiens","BAT2D1","NM_015172.3","NP_055987.2"
"BAT2L2","41015","P.troglodytes","BAT2D1","XM_001144679.1","XP_001144679.1"
"BAT2L2","41015","C.lupus","BAT2D1","XM_856926.1","XP_862019.1"
"BAT2L2","41015","M.musculus","Bat2d","NM_001081290.1","NP_001074759.1"
"BAT2L2","41015","R.norvegicus","Bat2d1","XM_341141.3","XP_341142.3"
"BAT2L2","41015","D.rerio","LOC407633","XM_001919425.1","XP_001919460.1"
"BCL2","527","H.sapiens","BCL2","NM_000633.2","NP_000624.2"
"BCL2","527","P.troglodytes","BCL2","XM_001145537.1","XP_001145537.1"
"BCL2","527","C.lupus","BCL2","NM_001002949.1","NP_001002949.1"
"BCL2","527","B.taurus","BCL2","XM_586976.4","XP_586976.3"
"BCL2","527","M.musculus","Bcl2","NM_009741.3","NP_033871.2"
"BCL2","527","R.norvegicus","Bcl2","NM_016993.1","NP_058689.1"
"BCL2","527","G.gallus","BCL2","NM_205339.1","NP_990670.1"
"BCL2L1","7639","H.sapiens","BCL2L1","NM_138578.1","NP_612815.1"
"BCL2L1","7639","P.troglodytes","BCL2L1","XM_514565.2","XP_514565.2"
"BCL2L1","7639","C.lupus","BCL2L1","NM_001003072.1","NP_001003072.1"
"BCL2L1","7639","B.taurus","BCL2L1","NM_001077486.2","NP_001070954.1"
"BCL2L1","7639","M.musculus","Bcl2l1","NM_009743.4","NP_033873.3"
"BCL2L1","7639","R.norvegicus","Bcl2l1","NM_001033670.1","NP_001028842.1"
"BCL2L1","7639","G.gallus","BCL2L1","NM_001025304.1","NP_001020475.1"
"BCL2L1","7639","D.rerio","bcl2l","NM_131807.1","NP_571882.1"
"BCL2L2","2989","H.sapiens","BCL2L2","NM_004050.3","NP_004041.1"
"BCL2L2","2989","B.taurus","BCL2L2","NM_001076533.1","NP_001070001.1"
"BCL2L2","2989","M.musculus","Bcl2l2","NM_007537.1","NP_031563.1"
"BCL2L2","2989","R.norvegicus","Bcl2l2","NM_021850.2","NP_068622.1"
"BICD2","9070","H.sapiens","BICD2","NM_001003800.1","NP_001003800.1"
"BICD2","9070","P.troglodytes","BICD2","XM_001147166.1","XP_001147166.1"
"BICD2","9070","C.lupus","BICD2","XM_541330.2","XP_541330.2"
"BICD2","9070","M.musculus","Bicd2","NM_001039179.1","NP_001034268.1"
"BICD2","9070","R.norvegicus","Bicd2","NM_001033674.1","NP_001028846.1"
"BICD2","9070","G.gallus","BICD2","XM_414332.2","XP_414332.2"
"BICD2","9070","D.rerio","LOC557383","XM_680437.2","XP_685529.1"
"BIRC5","37450","H.sapiens ","BIRC5 ","NM_001168.2 ","NP_001159.2"
"BIRC5","37450","P.troglodytes ","BIRC5 ","XM_001156931.1 ","XP_001156931.1"
"BIRC5","37450","C.lupus ","BIRC5 ","NM_001003348.1 ","NP_001003348.1"
"BIRC5","37450","B.taurus ","BIRC5 ","NM_001001855.2 ","NP_001001855.2"
"BIRC5","37450","M.musculus ","Birc5 ","NM_009689.2 ","NP_033819.1"
"BIRC5","37450","G.gallus ","BIRC5 ","NM_001012318.1 ","NP_001012318.1"
"BIRC5","37450","D.rerio ","birc5a ","NM_194397.2 ","NP_919378.1"
"BIRC5","37450","D.melanogaster ","Det ","NM_142351.2 ","NP_650608.1"
"BNIP3","2990","H.sapiens","BNIP3","NM_004052.2","NP_004043.2"
